ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B07SR5PM7Y","($) KIREILA","($) New Generation Plagiocephaly Baby Pillow Removable Anti-suffocation Hypoallergenic Ergonomic Orthopedic Memory Foam Prevention And Care Of The Flat Head 0-12 Months For Baby Cot Stroller","($) Baby Products","($) ","1","FBA","19.90","6.00","0","0.00","177,619","4.5","13","3","9.1x9.9x1.9","0.62","Large Standard-Size","6",,
"B086VTSLKV","GAX","GAX Baby Wedge Foam Pillow - Anti Reflux and Colic Congestion | Universal Bassinet | Pram | Moses | Basket | Stroller | Crib | Cot Bed - Toddler Sleep Safety Pillows (1 Pack)","Baby Products",,"1","MFN","25.95","0.00","58","1,505.10","2,023","-1","0","0","n/a","n/a","n/a","4",,
"B085LN2NZT","Comfortos","Comfortos Baby Wedge Foam Pillow - Anti Reflux and Colic Congestion Cushion Crib Cot Flat Head | Universal Bassinet | Pram | Moses | Basket | Stroller | Bed - Toddler Sleep Safety Pillows","Baby Products",,"1","MFN","9.95","0.00","109","1,084.55","5,272","1","2","0","n/a","n/a","n/a","6",,
"B0713RQHFT","Sensillo","Wedge Pillow Anti Reflux Colic Cushion for Baby Cot or Cot Bed 30x37 cm","Baby Products",,"1","MFN","11.99","0.00",,,,"4","1","0","n/a","n/a","n/a","2",,
"B082V3B6ZN","BabyTools","Wedge Anti-Reflux Baby Pillow|Memory Foam Anti-Suffocation Pillow For Baby Cot, Plagiocephaly|Gift For Baby Essentials With Removable Pillowcase|(OEKO-TEX® CERTIFICATE) Made in EU","Baby Products",,"1","FBA","25.95","6.16","16","415.20","7,913","4.5","21","2","11.5x14.9x3.1","0.4","Large Standard-Size","7",,
"B008Y2DFLM","Clevamama","ClevaMama ClevaFoam Baby Pillow for Newborn, Prevent Flat Head Syndrome, Breathable, for 0 - 12 months - White, 23x40 cm","Baby Products",,"3","AMZ","14.99","4.52","407","6,100.93","847","4.5","1,287","17","9.8x15.4x1.8","0.79","Large Standard-Size","12",,
"B0759YD8QH","Abco Tech","Pregnancy Wedge Pillow for Maternity – Unparalleled Support – Relieves Pain – Supports Your Belly, Back, Leg, Hip & Knees – Memory Foam Pillow - Compact & Portable – Comfortable – Washable Cover","Home & Kitchen",,"1","MFN","21.95","5.56","31","680.45","35,795","4","294","8","6.9x13.6x6.7","0.8","Large Standard-Size","9",,
"B004M3PS4O","Clevamama","ClevaMama ClevaFoam Toddler Pillow, Breathable and Anti-Allergy, Correct Alignment of the Spine, for 1 - 2 - 3 Years kids - White, 50x30 cm","Baby Products",,"2","AMZ","20.75","7.11","1,351","28,033.25","239","4.5","1,487","84","13.7x19.8x3.0","1.46","Small Oversize","10",,
"B074J9MFHK","Bluemoon Bedding®","Bluemoon Bedding® Baby Breath Easy Sleep Wedge Pillow - Pram Moses Basket Crib -Helps Colic Reflux","Baby Products",,"1","MFN","9.95","0.00","33","328.35","6,162","5","1","0","n/a","n/a","n/a","4",,
"B01M1H5PKB","Mothercare","Mothercare Wedge Pillow","Baby Products",,"3","FBA","24.99","5.89","25","624.75","11,456","4","45","0","10.3x10.9x3.9","0.49","Large Standard-Size","2",,
