ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B0876TLFJW","($) VNEED","($) Digital Body Thermometer with 100Pcs Disposable Digital Thermometer Probe Covers, for Baby Kids and Adult -Accurate and Fast Readings with Fever Indicator - (Color Random)","($) Baby Products","($) ","1","FBA","19.98","0.00",,,,"5","2","0","n/a","n/a","n/a","7",,
"B086WBXRSH","($) Merkisa","($) ","($) ","($) ","n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B087FVYD4N","($) Amzyigou","($) ","($) ","($) ","n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B0856T2RVL","Yinuoday","Digital Body Thermometer,Oral Underarm Temperature Thermometer Fast Read Temperature Meter for Baby,Adults or Kids","Health & Personal Care","N/A","1","MFN","5.60","2.28","8,377","46,911.20","746","4","128","119","1.6x5.5x0.8","0.06","Large Standard-Size","7",,
"B000LZ0Y82","BABYMAD","Highly Accurate Digital Medical Thermometer","Health & Personal Care",,"1","MFN","6.79","2.50","6,134","41,649.86","5,192","3.5","416","10","2.2x5.9x0.6","0.07","Small Standard-Size","3",,
"B00NVMIO02","Braun","Braun Thermoscan 7 IRT6520 Thermometer","Health & Personal Care",,"1","AMZ","38.08","8.73",,,,"4.5","9,413","283","6.5x8.8x2.3","0.79","Large Standard-Size","16",,
"B0866K2RM4","Liliannh","Digital Medical Thermometer,Thermometer with Fever,Oral and Rectal Thermometer for Children Adults and Baby - Fast Readings by Miecux","Baby Products",,"1","MFN","13.98","2.28","531","7,423.38","7,916","2","1","2","n/a","n/a","n/a","7",,
"B086K5SCQB","RAXFLY","Digital Thermometer - 2 Pcs RAXFLY Thermometers for Adults Baby Kids ℃/℉ Switchable Temperature Basal Medical Body Oral Rectal Underarm Thermometer","Baby Products",,"1","MFN","9.99","2.28","311","3,106.89","485","5","2","-2","1.5x5.0x0.5","0.11","Small Standard-Size","7",,
"B0871DZ2BH","VNEED","Digital Body Thermometer with 100Pcs Disposable Digital Thermometer Probe Covers, Digital Rectal and Oral Thermometers,Accurate and Fast Readings,for Kids Baby,Adults","Baby Products",,"1","N/A","19.99","0.00","109","2,178.91","3,026","5","3","0","n/a","n/a","n/a",,,
"B0862BL5FV","HR","Forehead and Ear Thermometer,No Contact Digital Infrared Professional Thermometer,35 Memory Recall, Tricolor Fever Alarm, Ideal for Baby, Kid, Adult","Health & Personal Care",,"1","MFN","42.99","5.45","125","5,373.75","21,008","1","2","0","n/a","n/a","n/a","7",,
"B0867CR4SV","Liliannh","Digital Medical Thermometer,Thermometer with Fever,Oral and Rectal Thermometer for Children Adults and Baby - Fast Readings(greenpinecone)","Baby Products",,"2","MFN","9.99","3.03","163","1,628.37","541","5","14","0","1.4x5.5x0.7","0.05","Small Standard-Size","7",,
"B086W84HRM","ancke","Medical Digital Thermometer, Fever Thermometer for Babies, Children and Adults, Accurate Fast Temperature Reading Body Thermometer for Oral, Armpit or Rectal Temperature Blue","Baby Products",,"5","MFN","2.54","0.00","169","429.26","1,976","5","2","0","n/a","n/a","n/a","6",,
"B07PGCS9Z4","($) MojiDecor","($) MojiDecor kids digital clinical thermometer, electronic LCD display Oral soft head thermometer for children adults","($) Baby Products","($) ","1","FBA","12.99","4.22","15","194.85","13,789","5","4","0","6.0x6.6x2.0","0.36","Large Standard-Size","8",,
"B07S3VG2LH","($) femometer","($) Basal Thermometer for Ovulation, Intelligent BBT Thermometer with Backlit LED Screen & APP(iOS & Android) for NFP, Trying to Conceive, Fertility Monitor & Period Tracker from Femometer Vinca II","($) Health & Personal Care","($) ","1","FBA","33.99","7.15",,,,"4.5","100","13","2.8x6.2x1.4","0.31","Large Standard-Size","7",,
