ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B086LJ4G8G","($) SDGDFXCHN","($) SDGDFXCHN Disposable PVC Gloves,100pcs/50pcs Multi-purpose PVC Natural Rubber Inspection Gloves for Work Protection Isolation/Household (S/M/L)","($) Safety & Security","($) SDGDFXCHN","n/a","N/A","9.49","0.00",,,,"0","0","n/a","n/a",,"n/a",,,
"B087CYMSLK","($) aiyvi","($) 100PC Protective Gloves Disposable Hand Protection Isolation From Dust&Germ Household Kitchen Cleaning Food Safe100PC Disposable Powder Free Latex-Free Gloves Food Safe are Multi-Purpose","($) Safety & Security","($) aiyvi","n/a","N/A","19.09","0.00",,,,"0","0","n/a","n/a",,"n/a",,,
"B0869H32KP","($) WLWNB","($) Disposable Latex Gloves Virus Protection Antibacterial Gloves Powder Free Gloves, Pack of 100, Multi-Purpose for Protection Health, Work, Food Preparation, Cleaning etc. (L)","($) Safety & Security","($) xuzhoushiSimon Micah","n/a","N/A","13.99","0.00",,,,"0","0","n/a","n/a",,"n/a",,,
"B086GFVN7M","($) Open Ya","($) Work Gloves Multi-purpose (Pack of 36), for factory garden work","($) Safety & Security","($) shibeilinqukangfafabaihuo","n/a","N/A","32.00","0.00",,,,"0","0","n/a","n/a",,"n/a",,,
"B01A6F9BVC","Beeswift","MULTI-PURPOSE GLOVES BLACK L","DIY & Tools","Amazon","6","AMZ","2.33","2.63",,,"265","4.5","277","3","4.9x9.1x1.3","0.22","Large Standard-Size","1",,
"B0868K5RY9","MUXI","MUXI Multi-Purpose Lightweight & Disposable Clear Gloves - Box of 100 Gloves","DIY & Tools","Mu xi","1","FBA","11.99","3.43","6","71.94","16,021","0","0","0","4.9x10.6x1.0","0.25","Large Standard-Size","5",,
"B0095ZBD16","Stalwart","Stalwart O-56889 Multi Purpose Gloves (Pack of 150)","DIY & Tools","N/A","n/a","MFN","5.99","0.00",,,"52,887","4","70","10","6.1x7.3x0.9","0.18","Large Standard-Size","1",,
"B07S31V934","St@llion","St@llion 450x Clear Light Weight Multi Purpose Disposable Gloves handy Heavy Duty Material","DIY & Tools","N/A","1","MFN","5.99","0.00",,,"107,671","4","3","0","n/a","n/a","n/a","4",,
"B005HHS90Y","Beeswift","MULTI-PURPOSE GLOVES GREEN L","DIY & Tools","Promsnap","2","MFN","3.29","2.66","19","62.51","119,071","4","10","0","4.1x11.1x1.3","0.22","Large Standard-Size","1",,
"B06XC45GH5","ISC Hygiene & Safety","12 Pairs of Work Gloves L (9) Nylon PU coated CAT II available XS extra-small (6),S small (7), M medium (8), L large (9), XL x-large (10), XXL xx.large (11) seamless multi-purpose black colour coded","DIY & Tools","ISC Brands","3","MFN","12.69","3.55","50","634.50","17,452","4.5","196","4","6.0x10.8x4.5","0.75","Large Standard-Size","6",,
"B086JY8H38","CF","100 Pcs Vinyl Gloves CF Powder Free Gloves Multipurpose Disposable Gloves IN BOX for Cleaning, Cooking, Hair Coloring, Dishwashing, Food Handling","DIY & Tools","Queenaal","4","MFN","14.41","0.00","0","0.00","80,257","1","1","-1","n/a","n/a","n/a","7",,
