ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B07VP478D4","($) DAYOU","($) 25ft Measuring Tape Retractable; 40% Thicker Nylon Wrap Blade Tape Measure with Fractions Marked; Tape Measure Easy Read Accurate Measurement Tape Inch and Meter","($) DIY & Tools","($) ","1","FBA","14.99","4.24","21","314.79","26,906","4.5","179","5","3.8x4.3x2.1","0.97","Large Standard-Size","6",,
"B00LLPIEK6","($) Meterex","($) Meterex Diaflex Diameter Tape Measure with Flexible Steel Blade and Plastic Case, Dual Reading in CM and Inches with 2m Range and Blank Space Before Zero - Measure Diameter of Trees and Pipes","($) DIY & Tools","($) ","1","FBA","18.00","3.64","7","126.00","82,739","5","4","0","2.2x2.2x0.8","0.02","Large Standard-Size","4",,
"B082DCJK9G","($) GLOW Wholesale","($) ","($) ","($) ","n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B000X2CWVK","Stanley","STANLEY FATMAX Classic Tape with Blade Armor, 5m Metric Only","DIY & Tools",,"7","AMZ","16.03","4.30","123","1,971.69","11,530","4.5","457","7","4.3x6.7x2.2","0.93","Large Standard-Size","10",,
"B00BPBS438","Stanley","Stanley FMHT0-33864 Flexómetro 5m x 32mm BladeArmor MAGNÉTICO","DIY & Tools",,"3","MFN","16.95","4.95","76","1,288.20","8,454","4.5","89","2","4.7x7.5x1.8","0.62","Large Standard-Size","9",,
"B01N17SV0S","Stanley","Stanley STHT30176-8 White Series Tough Case Tape Measure 8m 26' 25mm Wide Blade","DIY & Tools",,"1","MFN","9.99","0.00","9","89.91","57,238","-1","0","0","n/a","n/a","n/a","2",,
"B0001GRV9Q","Stanley","STANLEY FATMAX Classic Tape with Blade Armor, 5m/16ft","DIY & Tools",,"6","AMZ","13.99","3.95","120","1,678.80","13,487","4.5","488","7","4.5x7.1x2.2","0.79","Large Standard-Size","3",,
"B000P5R6ZM","Stanley","Stanley 3M OPP MEASURING TAPE","DIY & Tools",,"4","AMZ","3.55","2.68","359","1,274.45","4,624","5","52","5","2.0x2.3x1.1","0.22","Large Standard-Size","1",,
"B07VP478D4","DAYOU","25ft Measuring Tape Retractable; 40% Thicker Nylon Wrap Blade Tape Measure with Fractions Marked; Tape Measure Easy Read Accurate Measurement Tape Inch and Meter","DIY & Tools",,"1","FBA","14.99","4.24","21","314.79","26,906","4.5","179","5","3.8x4.3x2.1","0.97","Large Standard-Size","6",,
"B00CX2OFK4","OX Tools","OX - Pro Measuring Tape - Metric Measure Tape -With Thumb Lock - Black/Silver, 5m","DIY & Tools",,"7","MFN","9.95","3.41","143","1,422.85","18,519","4","74","4","4.6x6.9x2.0","0.66","Large Standard-Size","4",,
"B000Y8TZH2","Stanley","Stanley STA130656N Pocket Tylon Tape, 8 m/26 feet (25 mm) - Yellow and Black","DIY & Tools",,"5","MFN","9.26","3.34","4,815","44,586.90","334","4.5","840","27","3.2x3.5x1.4","0.79","Large Standard-Size","3",,
"B0051HEEZE","Stanley","STANLEY Powerlock Tape with Blade Armor, 10m/30ft","DIY & Tools",,"2","AMZ","16.99","4.21","83","1,410.17","9,803","4.5","409","3","4.3x7.4x1.9","0.79","Large Standard-Size","3",,
"B07KC3Q3RG","($) LOLBIU","($) 25 FT Tape Measure, LOLBIU Measuring Tape with Impact Resistant Rubber Covered Case, Strong Lock, Compatible with Inch and Metric","($) DIY & Tools","($) ","1","FBA","6.99","3.11","82","573.18","77,042","4.5","81","3","5.1x5.9x2.2","0.75","Large Standard-Size","5",,
"B00CX2OFG8","($) OX Tools","($) OX Measuring Tape - Trade Series Metric Tape -  Heavy Duty Nylon Coated Measurement Tape - Black/Blue - 5 m","($) DIY & Tools","($) ","3","MFN","3.59","2.60","342","1,227.78","15,280","4.5","200","35","2.5x4.7x1.7","0.49","Large Standard-Size","6",,
"B07QNTRJVT","($) HANDY HOME DIY AND REPAIR","($) 2pk 5m Tape Measure|Metric Tape Measurement 16 ft Portable Measuring Retractable Tool|Inches and Metric Measuring Tape for Construction, Home Use and DIY, Strong Lock and Belt Clip","($) DIY & Tools","($) ","1","MFN","5.49","2.83","39","214.11","8,029","3","3","0","3.0x8.4x1.4","0.75","Large Standard-Size","9",,
"B000QHF1ZQ","Silverline","Silverline 633848 Auto-Lock Tape Measure 3m x 16mm Display Box of 30","DIY & Tools",,"3","MFN","24.32","7.36","6","145.92","71,145","4.5","8","0","8.1x9.3x5.7","6.53","Large Standard-Size","1",,
"B01IAGD1I8","Milwaukee","Milwaukee 48227225 Premium Magnetic Tape Measure HP8-26Mg/27, Red/Black","DIY & Tools",,"1","FBA","21.40","5.01","321","6,869.40","4,587","4.5","214","4","4.7x7.6x3.1","1.5","Large Standard-Size","8",,
"B07GLQ5KTP","DAYOU","Tape Measure 8M – 26 FT X 8 M Measuring Tape Double Sided Metric and Imperial, Dual Lock Releases,Tape Measure with Magnetic Hook, Self-Locking, Metal Casing,","DIY & Tools",,"1","FBA","12.99","4.00","31","402.69","16,353","4","151","2","4.1x4.5x2.5","1.1","Large Standard-Size","6",,
"B0044D86Q4","Stanley","STANLEY Powerlock Tape with Blade Armor, 8m Metric Only","DIY & Tools",,"2","AMZ","14.90","3.96","62","923.80","19,406","4.5","122","4","4.3x6.5x1.8","0.93","Large Standard-Size","2",,
"B000X2F3E8","Stanley","Stanley 533886 FatMax 5m/16ft Tape Measure","DIY & Tools",,"3","AMZ","17.95","4.59","143","2,566.85","11,012","4.5","155","6","4.6x6.8x3.7","1.19","Large Standard-Size","9",,
"B00DDZC7JG","Stanley","Stanley 0-33-532 10m Micro Powerlock Tape with Blade Armor","DIY & Tools",,"2","AMZ","20.99","4.69","7","146.93","175,092","4","25","0","4.3x6.8x1.8","1.1","Large Standard-Size","3",,
"B00CX2OFG8","OX Tools","OX Measuring Tape - Trade Series Metric Tape -  Heavy Duty Nylon Coated Measurement Tape - Black/Blue - 5 m","DIY & Tools",,"3","MFN","3.59","2.60","342","1,227.78","15,280","4.5","200","35","2.5x4.7x1.7","0.49","Large Standard-Size","6",,
"B01FJ1VTUO","AnthroFlex","AnthroFlex Anthropometric Tape Measure with Thin Flexible Steel Blade with Blank Space Before Zero for Diameter, Body Circumference, Trees, Pipes - 2m Range, Retractible, Measure in Metric Only","DIY & Tools",,"1","FBA","20.99","4.00","5","104.95","217,550","4","12","0","2.0x2.1x0.5","0.02","Small Standard-Size","4",,
"B01I8N07YO","DEWALT","DeWalt Professional Tape Measure 5m x 32mm","DIY & Tools",,"1","MFN","27.46","5.97","4","109.84","184,679","-1","0","0","4.7x7.1x2.2","0.79","Large Standard-Size","1",,
"B01N08ZCGC","Komelon","Komelon KOMMPT516M 5m x 27mm PowerBlade Tape Measure-Metric Only, One Size","DIY & Tools",,"3","MFN","15.35","3.95","24","368.40","39,968","4.5","9","0","4.7x6.3x2.8","0.84","Large Standard-Size","1",,
"B016OPB3PU","Komelon","Komelon MPT826E PowerBlade Tape 8m / 26ft (Width 27mm), Multi, 8m/26ft","DIY & Tools",,"3","AMZ","14.36","4.24","61","875.96","17,547","4.5","56","1","4.9x6.7x2.4","1.26","Large Standard-Size","1",,
"B001DZOX0O","Stanley","Stanley Tools 033897 FatMax Tape Measure 10m (Width 32mm)","DIY & Tools",,"5","MFN","28.41","5.85","23","653.43","91,895","4","59","0","4.2x6.7x2.2","1.54","Large Standard-Size","2",,
"B001DZQSJS","Stanley","Stanley 033887 FatMax  Tape Rule 5m","DIY & Tools",,"4","AMZ","21.57","5.03","105","2,264.85","8,031","4.5","280","4","4.5x6.9x2.4","0.93","Large Standard-Size","5",,
"B000X2F3FC","Stanley","STANLEY STA533891 Fatmax Pro Tape, 8m Length","DIY & Tools",,"8","AMZ","19.97","5.44","0","0.00","0","4.5","316","7","4.4x6.6x2.8","1.28","Large Standard-Size","3",,
"B001DZNO8Q","Stanley","Stanley 033892 FatMax Tape Rule 8m","DIY & Tools",,"2","AMZ","24.30","5.36","45","1,093.50","36,321","4.5","216","1","4.3x7.0x2.1","1.32","Large Standard-Size","1",,
