#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
1,"Hauck Open N Stop, Pressure Fit Safety Gate with 9 cm Extension 84 - 89 cm, Extendable with Separate Extensions, Compatible with Y-Spindle for Railings, Metal Gate for Kids - White",B01MRN6N5M,Hauck,Baby Products,25.95,32,2610,67730,6527,Nov 1 2017,4.2,4.6,https://www.amazon.co.uk/dp/B01MRN6N5M/
2,"Munchkin Maxi-Secure Pressure Fit Safety Gate, 76 - 82 cm, White",B00KV7CVIQ,Munchkin,Baby Products,24.99,41,2273,56802,1411,Jan 27 2020,4.5,4.5,https://www.amazon.co.uk/dp/B00KV7CVIQ/
3,"Lindam Sure Shut Axis Pressure Fit Safety Gate 76 - 82 cm, White",B001KC05PM,Lindam,Baby Products,26.99,1121,273,7368,3329,Jun 15 2009,4.5,5.54,https://www.amazon.co.uk/dp/B001KC05PM/
4,"BabyDan Multidan Extending Metal Safety Gate, White - Fits Openings 62.5cm - 106.8cm",B008MVF5WW,BabyDan,Baby Products,21.99,42,2238,49214,1705,Jan 19 2012,4.4,4,https://www.amazon.co.uk/dp/B008MVF5WW/
5,"Safety 1st SecureTech Flat Step Practical Safety Metal Gate with Thin Step Over Bar, Ideal for Kids and Pets, 73 to 80 cm, White",B07BRBSL8B,Safety 1st,Baby Products,29.99,130,1133,33979,247,Jul 9 2018,4.6,5.2,https://www.amazon.co.uk/dp/B07BRBSL8B/
6,BabyDan No Trip Beechwood Safety Gate,B00INIU52O,BabyDan,Baby Products,24.99,301,684,17093,684,Sep 10 2014,4.5,2.3,https://www.amazon.co.uk/dp/B00INIU52O/
7,"Magic Gate for Dogs, Portable Folding Safe Enclosure Easy Install Anywhere (Baby Safety Fence,Pet Safety Enclosure) -100x75cm",B07J6PPCDL,Futureyun,Baby Products,10.99,321,655,7198,469,Mar 18 2019,2.3,0.28,https://www.amazon.co.uk/dp/B07J6PPCDL/
8,"BabyDan No Trip Screw Mounted Safety Gate, White",B007XTDHW4,BabyDan,Baby Products,22.99,364,602,13840,764,Feb 23 2009,4.5,2.98,https://www.amazon.co.uk/dp/B007XTDHW4/
9,"Callowesse® Kemble Pressure Fit Safety Gate, White, 75-82cm. Suitable as Baby Gate & Pet Gate, Red/Green Safety Locking Indicators.",B087775FXZ,Callowesse,Baby Products,33.99,3003,104,3535,1,Apr 21 2020,5.0,N/A,https://www.amazon.co.uk/dp/B087775FXZ/
10,BabyDan Guard Me Auto Retractable Safety Guard White - Fits Opening 55cm - 89cm,B00DNK23Y0,BabyDan,Baby Products,39.99,287,706,28233,1587,Aug 25 2014,4.6,3,https://www.amazon.co.uk/dp/B00DNK23Y0/
11,"BabyDan Multidan Extending Wooden Safety Gate Beech, 60.5-102cm",B00BEWVWYG,BabyDan,Baby Products,29.99,520,470,14095,731,Jun 17 2013,4.5,3.45,https://www.amazon.co.uk/dp/B00BEWVWYG/
12,"BabyDan Premier True Pressure Fit Safety Gate, Black",B007XTDGSY,BabyDan,Baby Products,0,1175,263,,486,Jun 3 2008,4.3,4.64,https://www.amazon.co.uk/dp/B007XTDGSY/
13,BabyDan Super Flexi Fit Extending Metal Safety Gate (White),B007XTDHX8,BabyDan,Baby Products,29.99,649,402,12056,578,Feb 26 2013,4.2,4.18,https://www.amazon.co.uk/dp/B007XTDHX8/
14,"Safetots Pressure Fit Self Closing Gate, 68.5-75 cm, White Narrow",B00IJC41HY,Safetots,Baby Products,36.9,775,355,13100,379,Oct 9 2014,4.2,5,https://www.amazon.co.uk/dp/B00IJC41HY/
15,BabyDan Premier Indicator Stair Gate Pressure Fit 73 - 80 cm silver - Collection 2015,B00AHRC9RS,BabyDan,Baby Products,0,9467,26,,699,Nov 29 2012,4.3,5.8,https://www.amazon.co.uk/dp/B00AHRC9RS/
16,BabyDan Perfect Close Extra Wide Safety Gate - 83.5cm - 90.3cm,B07L714WMF,BabyDan,Baby Products,34.99,701,381,13331,114,Jan 19 2019,4.3,5.2,https://www.amazon.co.uk/dp/B07L714WMF/
17,"Dreambaby® Retractable Gate - White (0 to 140cm) Extra-Tall Relocatable Mesh Safety Gate, Narrow to Extra Wide Baby & Dog Pet Stair Gate for Doorways Stairways & Hallways, Indoor & Outdoor",B07VLHP92X,Dreambaby,Baby Products,0,925,314,,223,Aug 6 2019,3.8,1.6,https://www.amazon.co.uk/dp/B07VLHP92X/
18,"Safetots Wide Walkthrough Narrow Gate, 62.5-69.5 cm",B00JE89BZE,Safetots,Baby Products,33.9,1228,254,8611,201,Jul 1 2014,3.9,4.12,https://www.amazon.co.uk/dp/B00JE89BZE/
19,"Safety 1st Securtech Auto Close Metal Gate, White",B00NRSTAGW,Safety 1st,Baby Products,0,5002,48,,824,May 31 2015,3.5,4.65,https://www.amazon.co.uk/dp/B00NRSTAGW/
20,"BabyDan Configure (Large 90-223cm, White)",B00EZHSMEK,BabyDan,Baby Products,0,14536,17,,1144,Feb 13 2014,4.6,9.4,https://www.amazon.co.uk/dp/B00EZHSMEK/
21,"Bettacare Auto Close Stair Gate Safety Gate (68.5 to 75 cm, Narrow Size)",B000KPJIYE,Bettacare,Baby Products,31.95,5836,41,1310,234,Feb 11 2009,4.1,4.9,https://www.amazon.co.uk/dp/B000KPJIYE/
