#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
1,Just4baby Foldable & Adjustable Home & Travel Baby Bather Bath Seat UK Seller (Aqua Bather 285),B08776527R,just 4 baby,Baby Products,17.99,2978,105,1889,0,--,3.6,1.28,https://www.amazon.co.uk/dp/B08776527R/
2,Summer Infant Clean Rinse Baby Bather Teal,B07Q2F4WX2,Summer Infant,Baby Products,22.6,7142,34,768,12,Jul 26 2019,3.9,1.15,https://www.amazon.co.uk/dp/B07Q2F4WX2/
3,"Baby Bathing Tubs Seats Bather Pillow Folding Bath Chairs, Shower Racks, Bath Beds, Bath Racks (Blue)",B01MG0ZFCQ,LyDecor,Baby Products,0,37839,6,,8,Aug 22 2018,3.6,N/A,https://www.amazon.co.uk/dp/B01MG0ZFCQ/
4,"Baby Bather Infant Bath Pad, Moonvvin Floating Soft Baby Bath Pillow & Lounger Newborn Pad Tub Cushion (Blue)",B078844LGR,Moonvvin,Baby Products,15.99,1749,189,3022,666,Mar 13 2018,4.3,0.26,https://www.amazon.co.uk/dp/B078844LGR/
5,Baby Bath Pad Newborn Baby Bathtub Pillow Floating No-Slip Baby Bather Infant Bath Pad Support Cushion Mat for Newborn 0-12 Months Blue,B07ZTKMHCD,summerkimy,Baby Products,0,4086,59,,0,--,4.4,N/A,https://www.amazon.co.uk/dp/B07ZTKMHCD/
6,"Baby Bath Cushion, Newborn Baby Bath Pillow Mat Infant Sponge Shower Pad Seat",B07MVDD8SB,Cozyhoma,Baby Products,12.99,9956,24,312,2,Apr 26 2019,5.0,0.26,https://www.amazon.co.uk/dp/B07MVDD8SB/
7,Angelcare Soft Touch Bath Support - Aqua,B00AWMV9CY,Angelcare,Baby Products,22.95,160,1012,23225,1339,Mar 18 2013,4.7,0.75,https://www.amazon.co.uk/dp/B00AWMV9CY/
8,"Mothercare Baby Bather, Grey Stars",B07MVMQGMZ,Mothercare,Baby Products,0,72167,3,,16,,4.4,1.2,https://www.amazon.co.uk/dp/B07MVMQGMZ/
9,Summer Infant Fold n Store Bath Sling,B00EDK8U8M,Summer Infant,Baby Products,0,22512,11,,139,Oct 29 2013,3.0,0.34,https://www.amazon.co.uk/dp/B00EDK8U8M/
10,"Baby Bath Pad Mat, 4EVERHOPE Soft Bath Pillow Newborn Bath Tub Cushion (Blue)",B07CWC4GMD,4EVERHOPE,Baby Products,15.83,7382,33,522,159,,4.3,0.24,https://www.amazon.co.uk/dp/B07CWC4GMD/
11,Skip Hop Moby Softspot Sink Bather,B077MBL7JK,Skip Hop,Baby Products,29.9,13381,18,538,431,Feb 9 2019,4.5,0.18,https://www.amazon.co.uk/dp/B077MBL7JK/
12,"Baby Bather Infant Bath Pad, FuliMall Floating Soft Baby Bath Pillow & Lounger Newborn Pad Tub Cushion",B07QQBGZP1,FuliMall,Baby Products,0,58816,4,,16,,4.6,0.34,https://www.amazon.co.uk/dp/B07QQBGZP1/
13,Shnuggle Baby Bath with Bum Bump Support and Cosy Foam Back Rest,B00SNM4KS0,Shnuggle,Baby Products,20.99,45,2137,44856,3021,Sep 11 2015,4.7,1.12,https://www.amazon.co.uk/dp/B00SNM4KS0/
14,Babyway Newborn Layback Bath Support Seat 4x Suction Pad,B07MJCB2PB,Babyway,Baby Products,8.99,5685,42,378,11,Dec 16 2019,4.0,0.6,https://www.amazon.co.uk/dp/B07MJCB2PB/
