#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
1,"COTOP Motorcycle Gloves, Hard Knuckle Touch Screen Gloves Motorcycle Gloves Motorbike ATV Riding Full Finger Gloves for Men (M)",B01M8PPMBK,COTOP,Automotive,14.99,1376,177,2653,510,,4.1,0.12,https://www.amazon.co.uk/dp/B01M8PPMBK/
2,"GES Men Outdoor Motorbike Waterproof Gloves Motorcycle Full Finger Touch Screen Racing Motocross Gloves (M, Red)",B0785J8M18,GES,Automotive,9.99,13874,20,200,367,,3.8,0.16,https://www.amazon.co.uk/dp/B0785J8M18/
3,Gloves Fox Dirtpaw Black L,B07DD3JMK5,Fox Racing,Automotive,0,9942,28,,858,Mar 27 2019,4.4,0.1,https://www.amazon.co.uk/dp/B07DD3JMK5/
4,Leopard Adult & Child Kids MX Motocross Gloves Dirty Bike Quad Motorcycle Motorbike Gloves,B06VS9CT1S,Leopard,Sports & Outdoors,9.99,17334,51,509,472,,4.4,N/A,https://www.amazon.co.uk/dp/B06VS9CT1S/
5,Fox Racing Dirtpaw Race Motocross Gloves,B073WVH2YG,Fox,--,0,N/A,,,49,Feb 24 2018,4.0,0.09,https://www.amazon.co.uk/dp/B073WVH2YG/
6,ISLERO Heavy Duty All Weather Motor Bike Motorcycle ATV paintball outdoors sports Full Finger Gloves Carbon Fiber Knuckle Hiking Climbing Racing Riding Cycling Smart Phone Capacitive Touch Compatible Gloves,B07DYRXWT4,Islero,--,13.99,N/A,,,107,,4.1,0.22,https://www.amazon.co.uk/dp/B07DYRXWT4/
7,"Cozone Fingerless Hard Knuckle Protection Motorcycle/Cycling Outdoor Gloves, Half Finger Mens Gloves for Gym/Training/Shooting/Airsoft/Climbing/Camping",B07DL1GSQW,Cozone,Sports & Outdoors,9.89,9448,82,811,44,,4.3,N/A,https://www.amazon.co.uk/dp/B07DL1GSQW/
8,Short Summer Mens Motorbike Motorcycle Gloves Mountain Riding Bike Sports Glove - Blue XL,B07FSCWFT7,REXTEK,Automotive,0,168522,2,,7,,3.9,N/A,https://www.amazon.co.uk/dp/B07FSCWFT7/
9,Wulfsport Kids Children Attack Motocross Motorbike Gloves Junior Off Eoad Trials Mountain Bike - Green XS,B073GYMQWC,Wulf,Automotive,0,31450,9,,4,,4.4,N/A,https://www.amazon.co.uk/dp/B073GYMQWC/
10,Seibertron Dirtpaw Men's Profesional Bicycle MTB Racing Off-road/Dirt bike Sports Gloves,B00IF0UI1I,Seibertron,Sports & Outdoors,15.99,9734,80,1279,401,,4.3,N/A,https://www.amazon.co.uk/dp/B00IF0UI1I/
11,TRIWONDER Cycling Gloves Mountain Road Biking Riding Gloves Breathable Wear-resisting Shock-absorbing for Men and Women,B074JC7DV4,TRIWONDER,Sports & Outdoors,9.99,12592,65,649,161,,4.3,0.06,https://www.amazon.co.uk/dp/B074JC7DV4/
12,Gloves Fox Ranger Black L,B07NH9DYZY,Fox,Automotive,27.2,35231,8,218,286,,4.4,0.02,https://www.amazon.co.uk/dp/B07NH9DYZY/
13,Qtech Kids Gloves - RED XXXS,B00K6ETK10,Qtech,Automotive,0,18053,16,,199,,4.5,N/A,https://www.amazon.co.uk/dp/B00K6ETK10/
14,Prime Full Finger Motorbike Motorcycle Sports Riding Mountain Bike Protection Summer Gloves 9001,B00UD9PTGS,Prime Sports,--,0,N/A,,,114,,4.1,0.1,https://www.amazon.co.uk/dp/B00UD9PTGS/
15,WULFSPORT Stratos Kid Glove Motorcross BMX Mountain Bike Trial Children Off Road Orange XXS 6-9 Years,B0102DH9SK,Wulf,Automotive,0,40938,7,,4,,4.3,0.1,https://www.amazon.co.uk/dp/B0102DH9SK/
16,"Fox 17291-001 Glove, Black, XL",B01DMTS85Y,Fox,Automotive,0,42854,7,,29,,4.0,0.01,https://www.amazon.co.uk/dp/B01DMTS85Y/
17,Oneal Jump 2012 Hustler Motocross Gloves,B005TSIGEK,O'Neal,--,0,N/A,,,11,,4.7,0.1,https://www.amazon.co.uk/dp/B005TSIGEK/
18,WULFSPORT STRATOS MOTORBIKE ADULT & KIDS MX GLOVES Motocross Sports Off Road Trials Enduro Quad Kart Dirt Bike Cycle ATV MTB BMX Race Adult & Junior Gloves,B072XNJQP1,WULF STRATOS GLOVES,--,0,N/A,,,56,,4.7,N/A,https://www.amazon.co.uk/dp/B072XNJQP1/
19,"SCOYCO Knuckle Motorcycle Gloves for Men and Women, Summer Mesh Armoured Protective Short Gloves for Motorbike Riding Motocross Enduro Dirt Bike MTB ATV Black",B07YDHCSQY,Scoyco,Automotive,13.99,52069,5,70,5,,4.8,0.16,https://www.amazon.co.uk/dp/B07YDHCSQY/
20,Oneal Men's Element Full Finger Mountain Enduro Motocross Dirt Bike Gloves,B01FGWWN1K,O'Neill Wetsuits,--,25.14,N/A,,,91,,4.4,N/A,https://www.amazon.co.uk/dp/B01FGWWN1K/
21,Wulfsport Attack Junior Kids Blue XS 10-12 Yrs Gloves Motocross Offroad Trials Mountain Bike,B07842K1W8,Wulf,Automotive,0,88164,3,,6,,4.4,N/A,https://www.amazon.co.uk/dp/B07842K1W8/
22,Fox Dirtpaw Glove - Race Flo Orange XL,B07VC4T3JW,Fox,Automotive,24.43,48320,6,147,256,,4.6,0,https://www.amazon.co.uk/dp/B07VC4T3JW/
23,"XBTIC Leopard Full Face Off Road Motocross Quad Crash Helmet ECE Downhill Dirt Bike MX ATV Adult Motorbike Helmet Gloves, Goggles, Mask 4 Piece Set (Matt Black + Star)",B07JGN48PQ,XBTIC,--,0,N/A,,,9,,4.5,N/A,https://www.amazon.co.uk/dp/B07JGN48PQ/
24,INBIKE Motorbike Gloves Mens Protection Motorcycle Leathers Black Full Finger All Season Touch Screen YKK Zipper Glove IM805,B07JWFY8JP,INBIKE,--,36.99,N/A,,,222,,4.3,N/A,https://www.amazon.co.uk/dp/B07JWFY8JP/
25,100% BRISKER ADULT MOTORBIKE MX GLOVES NEW 2019 Motocross Trials Enduro Quad Dirt PIT Kart Bike ATV MTB Off Road Sports Racing Cold Weather Gloves,B07PPJ6RZN,100 Percent,--,26.99,N/A,,,2,,4.5,N/A,https://www.amazon.co.uk/dp/B07PPJ6RZN/
26,BOOM Prime Motorbike Motorcycle Gloves Full Finger Leather High Visibility All Weather Thermal Winter Summer Cycling Waterproof Windproof Knuckle Protector Bike Riding MTB Gloves (S),B078L5NLNY,BOOM Prime,Automotive,0,179720,2,,1,,4.0,N/A,https://www.amazon.co.uk/dp/B078L5NLNY/
27,Wulfsport Air 5 Junior Kids Blue XXS 6-9 Yrs Motocross MX Trial Bike Mountain Pit Dirt Quad ATV,B077NB1T7F,Wulf,Automotive,0,73609,4,,11,,4.6,N/A,https://www.amazon.co.uk/dp/B077NB1T7F/
28,Kids Mx Gloves Wulfsport Stratos Junior Motocross Quad Dirt Bike Cub Enduro Off Road Gloves Blue,B071JM2SMK,Wulf,--,11.99,N/A,,,1,,5.0,N/A,https://www.amazon.co.uk/dp/B071JM2SMK/
29,"Winter Motorcycle Gloves Waterproof Touchscreen, Windproof Warm Long Cuff Motorbike Gloves Mens Womens for Scooter, Moped, Moto Cross, Bike, Winter Hiking, Outdoor Sports - L Grey",B0819N1TK5,RunSnail,Automotive,15.99,85449,3,48,163,,4.1,0.2,https://www.amazon.co.uk/dp/B0819N1TK5/
30,"SCOYCO Carbon Fiber Appearance Knuckle Motorcycle Gloves, Full Finger Lightweight Stretch Gloves with Rubber Anti Impact Protection for Motorbike Riding Motocross Racing Enduro Dirt Bike MTB ATV Black",B00E944GYE,Scoyco,Automotive,16.99,96149,3,51,1,,5.0,0.14,https://www.amazon.co.uk/dp/B00E944GYE/
31,Qtech Childrens Kids Motocross MX Gloves - Skeleton - BMX Pit Dirt Cycle ATV Quad Bike - White XXXS,B07V96L934,Qtech,Automotive,0,160585,2,,3,,5.0,N/A,https://www.amazon.co.uk/dp/B07V96L934/
32,"LKN 1 Pair Motorbike Riding Gloves Full Finger Motorcycle Sports Mountain Bike Protection Gloves (L, Orange)",B073JDJ6PQ,LKN,Automotive,13.94,100080,3,42,46,,4.1,0.16,https://www.amazon.co.uk/dp/B073JDJ6PQ/
33,"Motorcycle Mountain Bike Handlebar Gloves, Winter Neoprene Waterproof Protection Handlebar Gloves Warm Mitts Mittens Cycling Handlebar Muffs Hand Covers",B07JXY3LKS,BETTERLE,Automotive,18.98,262445,1,19,0,--,3.9,N/A,https://www.amazon.co.uk/dp/B07JXY3LKS/
34,Yuanu Motorbike Gloves Protective Gloves Breathable Lightweight Anti-Skid Outdoor Sports Full Finger Gloves Dirt Bike Racing Knitted Cloth Motorcycle Gloves For Men,B085HJ8TXG,Yuanu,--,6.38,N/A,,,0,--,4.8,N/A,https://www.amazon.co.uk/dp/B085HJ8TXG/
35,"Motorbike Gloves Touchscreen Full Finger Lightweight with Hard Knuckle Ideal Gear Accessories Fit For Dirt Bike ATV Motorbike Cycling Outdoor Powersports Men Women(Black,L)",B0798J3RLR,ILM,Automotive,10.98,68875,4,44,136,,4.4,0.11,https://www.amazon.co.uk/dp/B0798J3RLR/
