#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
1,"LAVIEVERT Jigsaw Puzzle Roll Mat Puzzle Storage Puzzle Saver, Environmental Friendly Material, Store Jigsaw Puzzles Up to 1,500 Pieces",B07V36BDV4,LAVIEVERT,Toys & Games,25.99,239,1338,34775,729,Oct 9 2019,4.3,0.32,https://www.amazon.co.uk/dp/B07V36BDV4/
2,"Deeabo Portable Puzzles Mat Jigsaw Roll Felt Mat, Felt Puzzle Mat Play Mat Puzzles Blanket For Up to 1500 Pieces Puzzles Travel Storage Bag, Black",B085NVG4T2,Deeabo,Toys & Games,9,4649,199,1791,0,--,5.0,0.26,https://www.amazon.co.uk/dp/B085NVG4T2/
3,"Becko Puzzle Roll Jigsaw Storage Felt Mat, Jigroll Up To 1,500 Pieces, Environmental Friendly Material for Jigsaw Puzzle Player, Box With Drawstring Storage Bag",B07MDKNB9V,Becko US,Toys & Games,26.99,1844,414,11174,940,Feb 12 2019,4.3,0.4,https://www.amazon.co.uk/dp/B07MDKNB9V/
4,Cavestoff Professional Jigsaw Puzzle Roll Mat Puzzle Storage Saver Black Felt Mat Blanket with Travel Storage bag r Up to 1500 Pieces,B085NNXHHK,Cavestoff,--,9.95,N/A,,,0,--,3.9,N/A,https://www.amazon.co.uk/dp/B085NNXHHK/
5,"Lavievert Jigsaw Puzzle Roll Mat Puzzle Store Mat Felt Mat, Jigroll Up To 1,500 Pieces",B00JWIY3NQ,LAVIEVERT,Toys & Games,0,20290,61,,740,,4.3,0.3,https://www.amazon.co.uk/dp/B00JWIY3NQ/
6,"Ewendy Puzzle Roll Mat Kit For 1500/2000 Pieces Puzzle Storage,Puzzle Saver,Jigsaw Puzzle Roll Up Play Mat,24 X 46 inch (Black, Only Puzzle Mat)",B086MH1Y5Y,Ewendy,Toys & Games,7.99,4891,190,1518,0,--,5.0,0.14,https://www.amazon.co.uk/dp/B086MH1Y5Y/
7,"Jumbo Puzzle Mates Puzzle & Roll Jigroll for Puzzles up to 1500 Pieces, Multi",B009IR0P0G,Jumbo,Toys & Games,0,733,759,,1226,Jan 12 2013,3.9,0.58,https://www.amazon.co.uk/dp/B009IR0P0G/
8,Jigsaw Roll,B000IKPXFE,Paul Lamond Games,Toys & Games,0,1360,515,,277,Sep 15 2007,4.1,0.6,https://www.amazon.co.uk/dp/B000IKPXFE/
9,"LAVIEVERT Jigsaw Puzzle Roll Mat Puzzle Storage Mat Felt Mat, Long Box Package, Jigroll Up To 1,500 Pieces - Comes with A Drawstring Opening Design Bag & 4 Sorting Trays",B07FDVWFWT,LAVIEVERT,Toys & Games,0,36859,41,,202,,4.5,0.6,https://www.amazon.co.uk/dp/B07FDVWFWT/
10,Cavestoff Professional Jigsaw Puzzle Roll Mat Puzzle Storage Saver Black Felt Mat Blanket with Travel Storage bag r Up to 1500 Pieces,B085NNX55T,Cavestoff,--,10.88,N/A,,,1,,5.0,N/A,https://www.amazon.co.uk/dp/B085NNX55T/
