#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
1,Purple Print House Personalised Bar Runner - Custom Text Rubber Bar Mat - Home Bar Accessories for home pub (Small 440 x 250),B07RG66FQG,Purple Print House,Home & Kitchen,15.95,13626,125,1994,40,May 30 2019,4.6,N/A,https://www.amazon.co.uk/dp/B07RG66FQG/
2,Personalised Bar Runner - Custom Text Rubber Bar Mat - Beer Gift - Home Bar Accessories for home pub (Medium - 880 x 250 mm),B07RH8693V,Purple Print House,Home & Kitchen,19.95,63769,45,898,9,,5.0,N/A,https://www.amazon.co.uk/dp/B07RH8693V/
3,"Purple Print House Personalised Bar Mats - Country Flag Beer Mats - Bar Accessories For Home Pub - Cocktail Gin Bar Rubber Runner Mat Custom Text - Gift Idea For Him (Scotland, Medium 880x250)",B07WX14D2D,Purple Print House,Home & Kitchen,16.95,21929,95,1610,7,,5.0,N/A,https://www.amazon.co.uk/dp/B07WX14D2D/
4,Coralgraph Inc Sublimation Rubber Rectangle Blank Bar Mat Size 88cm x 25cm,B01HQ045A2,Coralgraph Inc,Home & Kitchen,6.49,937626,31,201,0,--,5.0,0.4,https://www.amazon.co.uk/dp/B01HQ045A2/
5,Purple Print House Personalised Bar Runner - Lemons Gin & Tonic Quote - Custom Text Rubber Bar Mat - Home Bar Accessories for home pub (Small - 440x250),B07V29JX2T,Purple Print House,Home & Kitchen,12.95,1249403,31,401,0,--,4.6,N/A,https://www.amazon.co.uk/dp/B07V29JX2T/
6,Lanbowo Non-slip Rubber Bar Mat Bar Runner Glass Drip Tray Beer Drink Rail Bars Service Mat,B07T3ZVDV6,Lanbowo,Home & Kitchen,8.97,2020757,30,269,1,,5.0,N/A,https://www.amazon.co.uk/dp/B07T3ZVDV6/
7,Jack Daniels Hedgehog Bar Runner (Bar Mat),B00HWYXNYC,Jack Daniel,Home & Kitchen,0,1420692,31,,2,,3.2,0.5,https://www.amazon.co.uk/dp/B00HWYXNYC/
8,Rekorderlig Cider Bar Runner (Bar Mat),B074KLDV91,Rekorderlig,Home & Kitchen,0,2424063,30,,0,--,4.2,0.5,https://www.amazon.co.uk/dp/B074KLDV91/
9,FunYake Non-slip Table Pads Bar Rubber Mat Bar Runner Glass Drip Tray Beer Drink Rail Bar Service Mat,B07TZNTR2Y,FunYake,Home & Kitchen,0,6293416,30,,0,--,4.8,N/A,https://www.amazon.co.uk/dp/B07TZNTR2Y/
10,"H HILABEE Black Bar Mat 6 x 12 inch, Quality Rubber Bar Service Mat, Coffee Cafe Bar Mats, Spill Mat for Counter-Top",B07SKKVL69,H HILABEE,Home & Kitchen,15.72,2981183,30,472,0,--,4.9,N/A,https://www.amazon.co.uk/dp/B07SKKVL69/
11,"Unique WElinks Non-slip Rubber Bar Mat Rectangle Bar Mat PVC Beer Bar Runner Glass Drip Tray Beer Drink Rail Bars Service Mat Waterproof Drinking Table Placemat Cup Mat Pad (Red,15 x 30cm)",B07YC9Z3TK,Unique WElinks,Home & Kitchen,5.99,1241785,31,186,0,--,0.0,N/A,https://www.amazon.co.uk/dp/B07YC9Z3TK/
12,"Ztoma Bar Mat,Non-slip Rubber Bar Mat,Bar Runner Glass Drip Tray Beer Drink Rail Bars Service Mat",B07T65GDVH,Ztoma,--,9.58,N/A,,,0,--,0.0,N/A,https://www.amazon.co.uk/dp/B07T65GDVH/
13,Easimat Heavy Duty Industrial Rubber Floor Mat 5ft x 3ft,B00R2X05HQ,Easimat,Garden & Outdoors,16.5,87253,5,83,14,,4.7,N/A,https://www.amazon.co.uk/dp/B00R2X05HQ/
14,Rubber Bar Mat 45X30cm Coasters Placemat,B00237O4T6,Olympia,--,29.18,N/A,,,0,--,4.0,1.22,https://www.amazon.co.uk/dp/B00237O4T6/
15,Multi Shelf Bar Liner Stacking Mat,B00KQNFJMA,Stalwart,"Business, Industry & Science",39.59,16005,19,752,2,,5.0,2.3,https://www.amazon.co.uk/dp/B00KQNFJMA/
16,2m x 1.2m Wide Checker Plate Black Rubber Matting - 3mm Thick,B00EVQ55YK,Camthorne,"Business, Industry & Science",0,1709,166,,69,,4.4,10.4,https://www.amazon.co.uk/dp/B00EVQ55YK/
17,Isuper Coasters Set Of 6 Music Coasters - Art Car Bar Tea Coffee Table Mug Beer Bottle Beverages Absorbent For Wine Glass Rubber Black Cup Mat - Large 4.2 Inch Size,B07HP28XP5,Isuper,Home & Kitchen,6.69,870963,31,207,2,,4.3,N/A,https://www.amazon.co.uk/dp/B07HP28XP5/
18,Almencla 4 Pieces Black Rubber Bar Mat - Bar Service Spill Mat - Waterproof Dish Drying Mat - 6 x 12 inch,B07SKJSJL6,Almencla,--,30.98,N/A,,,0,--,0.0,N/A,https://www.amazon.co.uk/dp/B07SKJSJL6/
19,Homyl Blue Rubber Bar Mat - Bar Service Spill Mat - Waterproof Dish Drying Mat - 24 x 3 inch,B07V3FDXWT,Homyl,--,18.1,N/A,,,0,--,0.0,N/A,https://www.amazon.co.uk/dp/B07V3FDXWT/
