#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
1,Jaques of London - Chess set 15 Inch Walnut and Sycamore Inlaid Chess Board Complete with 3 inch Chess Pieces - Quality Chess For 180 Years,B07BL2M9G2,Jaques of London,Toys & Games,32.99,774,736,24281,447,Oct 10 2018,4.4,1.16,https://www.amazon.co.uk/dp/B07BL2M9G2/
2,Prime Chess Hand Crafted Cherry Wooden Chess and Draughts Set 35 x 35 Centimeter,B00COMQF3I,Prime Chess,Toys & Games,28.99,2026,386,11190,884,May 30 2013,4.3,0.86,https://www.amazon.co.uk/dp/B00COMQF3I/
3,"iBaseToy Folding Wooden Chess Set with 60 Game Rules Cards, Traditional Games for Adults Kids Beginners - 39 x 39cm Foldable Board",B0872378CS,iBaseToy,Toys & Games,23.99,3015,283,6789,2,Apr 19 2020,5.0,1.02,https://www.amazon.co.uk/dp/B0872378CS/
4,Jaques of London Chess Set Complete with Pieces - Quality Chess Board and Jaques Staunton Chess Pieces - Jaques Chess Quality Since 1795,B07BK7HCZQ,Jaques of London,Toys & Games,0,2407,338,,585,Jul 18 2018,4.7,1.54,https://www.amazon.co.uk/dp/B07BK7HCZQ/
5,Brand New Hand Crafted Tournament 76 Wooden Chess Set 39cm x 39cm,B00KFO303K,Prime Chess,Toys & Games,31.99,7057,140,4479,287,Oct 28 2014,4.5,0.95,https://www.amazon.co.uk/dp/B00KFO303K/
6,Dosenstek Folding Hand Crafted Wooden Wood Chess Set 30 X 30CM,B07MCJ3VWT,Dosenstek,Toys & Games,17.59,2307,349,6139,74,Jul 9 2019,4.3,0.5,https://www.amazon.co.uk/dp/B07MCJ3VWT/
7,SENATOR - Large 40cm / 16in Handcrafted Classic Wooden Chess Set,B01EAYMT82,Wooden Magic,Toys & Games,55,7596,132,7260,75,Jan 5 2017,4.5,1.18,https://www.amazon.co.uk/dp/B01EAYMT82/
8,Chess Set Fold Away Board Quality Handmade Wooden Pieces Complete FIDE Compliant Stimulate Your Brain Exercise Your Mind 24 cm 240 mm 10 inch,B075K7M2KF,Stands Out,Toys & Games,0,13482,83,,164,Feb 28 2018,3.9,0.15,https://www.amazon.co.uk/dp/B075K7M2KF/
9,Standard Fold-up wooden Chess Set by db,B01MXEKPQO,db,Toys & Games,17.99,18537,65,1169,30,Dec 11 2014,3.1,0.74,https://www.amazon.co.uk/dp/B01MXEKPQO/
10,Legler Folding Chess Wooden Games Set,B000UOEQ10,Legler,Toys & Games,10.9,4624,199,2169,208,Jul 19 2009,3.7,0.35,https://www.amazon.co.uk/dp/B000UOEQ10/
11,Jaques of London Chess Set with Board Inc. Draughts Pieces - A Chess and Checkers Sets with Board - Perfect Wooden Chess Set for Kids of All Ages - Your Children will Love this Beautiful Set,B07BK9FGFW,Jaques of London,Toys & Games,22.99,1479,485,11150,258,Jul 15 2018,4.6,1,https://www.amazon.co.uk/dp/B07BK9FGFW/
12,dsidols 3 in 1 Classic Folding Wooden Chess Set Chess Board Game and Draughts Set 30cm x 30cm (11.8 Inch),B07BQTLJB6,dsidols,Toys & Games,0,14496,78,,30,Feb 16 2019,3.9,0.48,https://www.amazon.co.uk/dp/B07BQTLJB6/
13,"Beautiful INDIAN DELUXE 48cm / 18in Luxury Sweet Cherry Wooden Chess Set, Handcrafted Classic Game",B017D8YTK8,Master of Chess,Toys & Games,0,79742,27,,1,Jun 26 2019,5.0,1.5,https://www.amazon.co.uk/dp/B017D8YTK8/
14,GrowUpSmart Smart Tactics Folding Chess Set Made By FSC Certified Wood - Plus Edition With Chess Bag,B0822XD21P,GrowUpSmart,Toys & Games,29.99,26342,50,1500,8,Dec 17 2019,3.3,1.02,https://www.amazon.co.uk/dp/B0822XD21P/
15,Toyrific Chess and Draughts 2-in-1 Game Board Set,B079R8J8VX,Toyrific,Toys & Games,18.83,3883,230,4331,27,Mar 20 2019,4.6,1.17,https://www.amazon.co.uk/dp/B079R8J8VX/
16,NR Wooden Chess Board Set Folding Portable Storage Travel Chess Set with Pieces for Kids Adults Outdoor Party Family Activities,B0823G2XVV,NR,Toys & Games,0,39902,39,,1,,5.0,N/A,https://www.amazon.co.uk/dp/B0823G2XVV/
17,3 IN 1 Wooden Chess Checkers Backgammon Game Travel Draughts Set,B0796Q3LJB,FlowersSea,--,0,N/A,,,28,Feb 18 2018,3.7,0.48,https://www.amazon.co.uk/dp/B0796Q3LJB/
18,"Beautiful ROYAL MAXI 31cm / 12in Travel Wooden Chess Set for Kids, Adults, Handcrafted Classic Game",B017O66WOK,Master of Chess,Toys & Games,0,166554,21,,2,,5.0,0.7,https://www.amazon.co.uk/dp/B017O66WOK/
19,OLYMPIC CHERRY CHESS & DRAUGHTS - 35cm / 14in Handcrafted Wooden Chess Set with Checkers,B01DXRG9GA,Wooden Magic,Toys & Games,35,30919,45,1575,50,Jun 19 2016,4.1,0.8,https://www.amazon.co.uk/dp/B01DXRG9GA/
20,iBaseToy Magnetic Travel Chess Set 3 in 1 Chess Checkers Backgammon Set for Adults Kids Folding Portable Chess Set Traditional Chess Game 9.8” x 9.8”,B07L318ZR4,iBaseToy,Toys & Games,20.99,9209,113,2372,89,Jan 29 2019,4.8,0.54,https://www.amazon.co.uk/dp/B07L318ZR4/
21,Smart Tactics Folding Chess Set Made By FSC Certified Wood - Premium Edition With Chess Bag and Extra Chess Pieces,B01986YUZ2,GrowUpSmart,Toys & Games,34.99,27571,49,1715,156,Oct 19 2016,4.1,1,https://www.amazon.co.uk/dp/B01986YUZ2/
22,"Gibot 3 in 1 Chess Board Set, 31.5CM x 31.5CM Magnetic Chessboard with Chess, Checkers, Backgammon for Kids and Adult, Foldable and Portable Game Board for Travel , Black and White",B0795361TJ,Gibot,Toys & Games,28.99,3289,264,7653,526,Mar 4 2018,4.4,1.02,https://www.amazon.co.uk/dp/B0795361TJ/
23,Beautiful PEARL Wooden Chess Set - Burnt Design on Every Single Piece,B015NGZM76,Master of Chess,Toys & Games,0,52968,33,,15,,4.3,0.6,https://www.amazon.co.uk/dp/B015NGZM76/
24,Stunning PEARL 35cm / 13.8in Popular European Wooden Chess Set! Hand Crafted Pieces and Chessboard by Master Of Chess,B01MXEKM5H,Master of Chess,Toys & Games,0,110084,24,,51,Dec 2 2015,4.3,0.75,https://www.amazon.co.uk/dp/B01MXEKM5H/
25,ChessEbook wooden chess set ROYAL 31 x 31 cm,B00BJPVODM,Chessebook,Toys & Games,16.99,88651,26,442,66,,4.3,0.6,https://www.amazon.co.uk/dp/B00BJPVODM/
26,UNEEDE Magnetic Chess Board Set 31.2CM x 31.2CM Wooden color 2 in 1 Chess & Checkers Game Set with Portable Folding Board Design for Kids and Adults,B0794V6DQX,UNEEDE,Toys & Games,26.99,21137,59,1592,358,Mar 25 2018,4.3,0.9,https://www.amazon.co.uk/dp/B0794V6DQX/
27,Staunton No. 7 Tournament Chess Pieces in Wooden Box,B001JK4434,Wegiel,Toys & Games,32.85,11181,96,3154,81,May 15 2012,4.5,1.13,https://www.amazon.co.uk/dp/B001JK4434/
28,"Fantastic OLYMPIC 35cm / 14in Tournament Wooden Chess Set and Draughts / Checkers, 100% Handcrafted",B015OM1O44,Master of Chess,Toys & Games,0,121312,23,,23,Nov 25 2015,4.2,0.64,https://www.amazon.co.uk/dp/B015OM1O44/
29,Newitts Staunton Wooden Chess Board [Set] • Grand quality inlaid Walnut/Sycamore Chess Board • Sturdy Chess pieces with felted base • Lockable wooden box included,B084XBBVS2,Newitts,Toys & Games,0,111027,24,,0,--,4.5,N/A,https://www.amazon.co.uk/dp/B084XBBVS2/
30,"INTIGNIS Chess Set – Backgammon & Checkers 3 in 1 Complete with Pieces Wooden For Kids, Adults Traditional Board Game Foldable",B07W737Y33,INTIGNIS,Toys & Games,19.99,24119,54,1079,4,,3.5,1.04,https://www.amazon.co.uk/dp/B07W737Y33/
31,Stunning PEARL XL Large Wooden Chess Set 42cm / 16in. Very Popular Europen Hand Crafted Chess,B01N3M7WMI,Master of Chess,Toys & Games,0,105347,24,,12,Dec 26 2016,3.7,1.2,https://www.amazon.co.uk/dp/B01N3M7WMI/
32,"Great SENATOR 41cm x 41cm / 16"" Wooden Chess Set. Burnt Ornaments on Chess Board and Chessmen",B017QH4I0W,Master of Chess,Toys & Games,0,128051,22,,16,Dec 5 2015,4.0,1.1,https://www.amazon.co.uk/dp/B017QH4I0W/
33,ChessEbook boxed set Chess Draughts Backgammon 40 x 40 cm,B00BGQOPRQ,Chessebook,Toys & Games,37.95,12289,89,3378,66,,4.2,1,https://www.amazon.co.uk/dp/B00BGQOPRQ/
34,INTIGNIS Magnatic Wooden Chess Set Hand Crafted Foldable for Kids Adults Traditional Game ( 29 x 29 cm),B07SP9Z6JN,INTIGNIS,Toys & Games,36.99,105969,24,888,13,Aug 31 2019,4.3,0.8,https://www.amazon.co.uk/dp/B07SP9Z6JN/
35,"Posh ROYAL 50cm / 20in Wooden Chess Set, Chess Pieces Handcrafted from Sweet Cherry Tree",B015RK740G,Master of Chess,Toys & Games,44.99,84317,26,1170,5,May 21 2018,4.6,1.7,https://www.amazon.co.uk/dp/B015RK740G/
36,Wooden Chess Set - Classic Board Game,B07ZZGJNML,Harveys Bored Games,Toys & Games,16.99,139698,22,374,0,--,3.7,0.62,https://www.amazon.co.uk/dp/B07ZZGJNML/
37,3 in 1 - Wooden Chess Backgammon Draughts SET - SMALL,B00TSTWFJS,Prime Chess,Toys & Games,21.99,20318,61,1341,17,,4.1,0.44,https://www.amazon.co.uk/dp/B00TSTWFJS/
38,"ZUOQUAN Folding Wooden Chess, Quality Handmade Wooden Chess Pieces with Magnetic Chess Pieces and a Flat Chess Board for Adults Kids Beginners - Handmade Wooden Indoor Family Board Games",B07YCHHLBV,ZUOQUAN,--,0,N/A,,,0,--,3.5,N/A,https://www.amazon.co.uk/dp/B07YCHHLBV/
39,HTI Toys Traditional Games Chess Set Board Game For Kids Adults,B000FCUOG8,HTI,Toys & Games,7.49,1329,523,3917,279,Jan 6 2012,4.2,0.56,https://www.amazon.co.uk/dp/B000FCUOG8/
40,Wooden Magnetic Chess Set Folding Board Desktop Game and Storage Toy for Kids Beginners Adults,B07J4PWQSZ,Garosa,Toys & Games,22.19,195782,20,444,32,,3.8,0.66,https://www.amazon.co.uk/dp/B07J4PWQSZ/
41,"SQAURE - Wooden Chess Set MAGNETIC - 26,5 x 26,5 cm - Chessboard & Chess Pieces",B079WPB1XC,SQUARE GAME,Toys & Games,33.9,58407,31,1051,53,,4.1,0.6,https://www.amazon.co.uk/dp/B079WPB1XC/
42,ChessEbook Wooden chess set SCHOOL 27 x 27 cm,B00BFXJD2M,Chessebook,Toys & Games,16.95,221078,19,322,66,Apr 9 2020,4.3,0.45,https://www.amazon.co.uk/dp/B00BFXJD2M/
43,Fantastic AMBER 40cm / 16in Wooden Chess Set. Translucent Plastic Staunton Chess Pieces on Wooden Folding Chessboard,B017BUAAWY,Master of Chess,Toys & Games,0,94719,25,,21,Oct 6 2016,3.7,1.33,https://www.amazon.co.uk/dp/B017BUAAWY/
44,Toyvian Wooden chess set with Portable Cute Storage Bags for Easy Carry,B07L3D4KXB,Toyvian,Toys & Games,14.24,213142,19,271,0,--,3.1,0.31,https://www.amazon.co.uk/dp/B07L3D4KXB/
45,Luxury SPARTAN - GOLD Edition Wooden Chess Set 40x40cm & Weighted Pieces,B073RDF652,Master of Chess,Toys & Games,49.99,83670,26,1300,7,Aug 15 2018,2.3,1.4,https://www.amazon.co.uk/dp/B073RDF652/
46,Great Cherry TOURNAMENT Wooden Chess Set - 32 x 32cm. BARGAIN!,B072HMRZ2D,Master of Chess,Toys & Games,0,163631,21,,15,Oct 9 2017,4.8,0.6,https://www.amazon.co.uk/dp/B072HMRZ2D/
47,Olympic - Large 40cm / 10.8in Handcrafted Wooden Chess Set Cherry Tree,B01G7DMARE,Wooden Magic,Toys & Games,49.99,119670,23,1150,5,,3.7,1.06,https://www.amazon.co.uk/dp/B01G7DMARE/
48,Posh THE PRESIDENT Wooden Chess Set 45cm / 18in Sweet Cherry Tree. Beautiful Chess Pieces and Hand Crafted Chess Board,B015OQPVAI,Master of Chess,Toys & Games,0,186365,20,,11,Dec 8 2015,4.1,1.34,https://www.amazon.co.uk/dp/B015OQPVAI/
49,Chess Set Board Games Kids-Wooden Toys International Magnetic Travel Chess Set for Adults Children-Portable Chess Board Educational Toys for 3 4 5 6 Year Old Boys Girls,B082TT75F5,TONZE,Toys & Games,19.95,147992,21,419,3,,3.1,0.61,https://www.amazon.co.uk/dp/B082TT75F5/
50,"GYFHMY Terracotta Warriors Style Chess with Board, Hand Crafted International Chesses, Folding Storage Retro Set, Classic Family Game Perfect for Kids Adults",B07YKP3518,GYFHMY,Toys & Games,50.04,41428,38,1902,0,--,3.5,N/A,https://www.amazon.co.uk/dp/B07YKP3518/
51,"Exclusive AMBASSADOR DE LUXE CHERRY 54cm / 21in Premium Quality Wooden Chess Set, Handcrafted Classic Game",B079Q951RC,Master of Chess,Toys & Games,49.99,31732,45,2250,0,--,3.6,2,https://www.amazon.co.uk/dp/B079Q951RC/
52,"Hellery Wooden Handmade International Chess Set, 3 in 1 Chess Backgammon Pieces Game Toys - 44x44cm",B083H8F87H,Hellery,Toys & Games,33.45,198228,20,669,0,--,4.4,N/A,https://www.amazon.co.uk/dp/B083H8F87H/
53,77mm Ash wood chess pieces in wooden box,B078VRMRKQ,Brimtoy,Toys & Games,0,38709,39,,17,,4.9,0.37,https://www.amazon.co.uk/dp/B078VRMRKQ/
54,Reelva WOODEN CHESS 30 X 30CM CLASSIC FOLDING SET CHESS BOARD GAME,B01N2KK7ZF,Reelva,Toys & Games,0,78327,27,,45,,3.6,0.58,https://www.amazon.co.uk/dp/B01N2KK7ZF/
55,High-Class OLYMPIC Large 42cm / 16.5in Wooden Hand Crafted Professional Chess Set by Master Of Chess,B01MTL2YAA,Master of Chess,Toys & Games,34.9,28529,48,1675,6,Jan 27 2016,3.4,0.86,https://www.amazon.co.uk/dp/B01MTL2YAA/
56,Large CLASSIC TOURNAMENT Wooden Chess Set 41 x 41cm - Great Chess Board & Staunton Pieces!,B077LH821X,Master of Chess,Toys & Games,0,170605,21,,7,Dec 3 2018,3.7,1.1,https://www.amazon.co.uk/dp/B077LH821X/
